აღებაც	აღებ აც
ივლისს	ივლის ს
თანამედროვეთა	თანამე დროვე თა
პრეზიდენტებს	პრეზიდენტ ებს
აკვირდებოდა	აკვირდ ებ ო და
უზრუნველყოს	უზრუნველ ყო ს
ფტორიდი	ფტორ ი დი
შედეგებს	შედეგ ებს
არსებობენ	არსებობ ენ
ადამიანს	ადამიან ს
კანონების	კანონ ების
განხორციელება	განხორციელ ება
ინფიცირებული	ინფიცირ ებულ ი
წინამძღვარმა	წინა მ ძღვარ მა
მიკროტალღური	მი კრო ტალღ ური
რეფერენდუმში	რეფერენდუმ ში
შეადგენდეს	შეადგენ დ ეს
წთ	წთ
ნიჭიერი	ნიჭიერ ი
ჰამლეტი	ჰამლეტ ი
მოცემულია	მო ცემულ ი ა
სახეობებით	სახეობ ები თ
სეიმი	სეიმ ი
განაცხადი	გან აცხად ი
იუგოსლავია	იუგოსლავ ია
სტანისლავის	სტანისლავ ის
შეყვარებულები	შე ყვარებულ ები
მოსამართლედ	მო სა მართლე დ
კვალს	კვალ ს
ფრინველია	ფრინველ ია
ერთპიროვნული	ერთპიროვნულ ი
გამოჩნდნენ	გა მო ჩნდ ნენ
ობიექტებია	ობიექტ ები ა
ტაივანი	ტაივან ი
სერის	სერ ის
მიზეზს	მიზეზ ს
ბურგუნდიელის	ბურგუნდი ელ ის
ათწლეულებში	ა თწლეულ ებ ში
ცენზი	ცენზ ი
დარტყმას	და რტყმ ა ს
შემადგნლობა	შე მა დგნლ ობ ა
აკუსტიკური	აკუსტიკ ური
ბიუროში	ბიურ ო ში
ცოლის	ცოლ ის
ყარაბაღი	ყარაბაღ ი
საალყო	სა ალყ ო
ბრიტანეთისგან	ბრიტანეთ ის გან
თურქულად	თურქ ულ ად
ნაგები	ნაგ ები
ევროპის	ევროპ ის
ქალზე	ქალ ზე
სათავადოს	სა თავად ო ს
თაღში	თაღ ში
ჰყვარებია	ჰყვარ ები ა
გაიწელა	გა ი წელ ა
მომდინარეობს	მო მდინარეობ ს
წარჩინებული	წარჩინებულ ი
ამაღლდა	ამაღლ და
მაგარ	მაგარ
ტოპოგრაფიულ	ტოპოგრაფი ულ
მკვიდრმა	მკვიდრ მა
მწვერვალისკენ	მწვერვალ ის კენ
ეფექტით	ეფექტ ით
მოქმედებამ	მოქმედებ ამ
ჯანმრთელობისა	ჯანმრთელობ ისა
არისტოკრატის	არისტოკრატ ის
მანაგუა	მანაგუ ა
ილაის	ილა ის
პირველმა	პირველ მა
მოსახლის	მოსახლ ის
მოდელმა	მოდელ მა
სვამს	სვამ ს
ხერარდო	ხერ არდ ო
შესატყვისად	შე სატყვის ად
მექანიკურ	მე ქანიკ ურ
მეტიუ	მე ტი უ
მთავრობების	მთავრობ ების
გარჩევა	გა რჩევ ა
ლოდი	ლოდ ი
სიმრავლეთა	სიმრავლ ეთ ა
სიუჟეტურად	სიუჟეტ ურ ად
ეთიკის	ეთიკ ის
ზოლისაგან	ზოლ ის ა გან
არღუნის	არღუნ ის
ეთერზეთოვანი	ეთ ერ ზეთ ოვან ი
მონიტორი	მო ნიტორ ი
კომიქსებში	კომიქს ებ ში
მაიკოპის	მა იკოპ ის
ტიფის	ტიფ ი ს
ალტერნატივას	ა ლტერნატივ ას
პაუზის	პაუზ ის
გამოიყვანენ	გამო იყვან ენ
დაწერეს	და წერ ეს
ჩინით	ჩინ ით
საკუთრებისა	საკუთრ ების ა
ჩაღრმავებულ	ჩაღრმავ ებულ
ჩჟან	ჩჟ ან
ახორციელებდა	ახორციელ ებ და
მეცხვარული	მე ცხვარ ული
სათვისტომოს	სა თვისტომ ო ს
დამპყრობლები	და მპყრობლ ები
მგონია	მ გონ ია
კმაყოფილი	კმაყოფილ ი
ხარჯებით	ხარჯ ები თ
გაბონის	გა ბონ ის
პატარა	პატარ ა
განივზოლიანი	გა ნივზოლ იანი
სიამოვნებით	სიამოვნ ები თ
განსაკუთრებულობა	გან საკუთრებულ ობ ა
გამაგრებულ	გა მაგრ ებულ
ლადენის	ლადენ ის
კერტის	კერტ ის
დაზავდნენ	და ზავ დნენ
კლუბებმა	კლუბ ებ მა
ინდიელებთან	ინდიელ ებთან
შეჰპირდა	შე ჰპირდ ა
ას	ას
სიმშრალის	სი მშრალ ის
რჩევა	რჩევ ა
სერიაც	სერი აც
დანარჩენებმა	და ნარჩენ ებ მა
სპექტრი	სპექტრ ი
მღვდელმა	მღვდ ელ მა
აღადგინოს	აღადგინ ო ს
აგენტები	აგენტ ები
აბდულ	აბდ ულ
ვერტმფრენის	ვერტმფრენი ს
ფასადზე	ფასად ზე
სტომატოლოგიური	სტომატ ოლოგი ური
ლაბაძის	ლაბ აძის
რუთ	რუთ
გადაეცემოდა	გა და ეცემ ო და
სამისიონერო	სა მისიონერ ო
წარმოთქმას	წარმოთქმ ას
კატეგორიები	კატეგორი ები
შვედური	შვედ ური
უცხოა	უცხო ა
ფავორიტად	ფავორიტ ად
გააუქმეს	გა აუქმ ეს
გასათვალისწინებელია	გა სა თვალისწინ ებელი ა
პროცენტულად	პროცენტ ულ ად
ცხოვრების	ცხოვრ ების
კომპანიისთვის	კომპანი ისთვის
ქართველ	ქართველ
ეკუთვნიან	ეკუთვნ იან
სახეობრივი	სახე ობრივ ი
დათმეს	და თმ ეს
ნოველათა	ნოველ ა თ ა
მოსამართლემ	მო სა მართლ ემ
იგულისხმებოდა	იგულისხმ ებ ო და
გარდასახვა	გარდა სახვ ა
ღეროს	ღერო ს
ჩადენსისის	ჩადენ ს ის ის
კლასიცისტური	კლასიც ის ტური
წერს	წერ ს
აღზარდა	აღზარ და
ილტოს	ილტ ო ს
იუვემ	იუვე მ
ვცხოვრობთ	ვცხოვრ ობთ
ფიზიოლოგია	ფიზიოლოგი ა
მართალი	მართალ ი
ტრანსილვანიაში	ტრანსილვან ი აში
ნინული	ნინ ული
რაიონებია	რაიონ ები ა
გაბატონდნენ	გაბატონ დნენ
ვულკანების	ვულკან ების
ფლობს	ფლობ ს
ვაშინგტონ	ვაშინგტონ
თურქმენეთის	თურქმენეთ ის
ხედვა	ხედვ ა
რჩება	რჩ ება
მილანს	მილან ს
ხეობებით	ხეობ ები თ
დაე	და ე
საგუბერნატოროდან	სა გუბერნატორ ო დან
ქვეყანამ	ქვეყან ამ
მილიონს	მილიონ ს
სიმულატორი	სიმულ ა ტორი
ცხადყო	ცხად ყო
კლდოვან	კლდოვან
მეტამორფული	მეტამორფ ული
კვლევისა	კვლევ ისა
თხზავდა	თხზ ავდა
კვადრატში	კვადრატ ში
მოსამზადებლად	მო სა მზად ებლად
შთაბეჭდილება	შთაბეჭდილ ება
მოწმობენ	მოწმ ო ბენ
ბოლესლავ	ბოლესლავ
ხელში	ხელ ში
ჩარჩოებში	ჩარჩო ებ ში
შესწორებული	შესწორ ებულ ი
თანამშრომლობამ	თანამშრომლობ ამ
გამოც	გა მო ც
მამიდაშვილმა	მა მი და შვილ მა
ასაკისა	ასაკ ის ა
ანსამბლს	ანსამბლ ს
დასდევს	და სდევ ს
გაზი	გაზ ი
ქმნილება	ქმნილებ ა
საკითხის	საკითხ ის
მეამბოხეებმა	მე ამბოხ ეებ მა
ნაყოფია	ნაყოფ ია
თუმანიშვილის	თუმან იშვილ ის
სიწმინდეს	სიწმინდ ეს
დისერტაცია	დისერტაცი ა
იცვლებიან	იცვლ ები ან
ჩინელ	ჩინელ
გლობუსის	გლობუს ის
ეტლს	ეტლ ს
დაქირავების	დაქირავ ების
მოახსენა	მო ახსენ ა
იმპერატორი	იმპერატორ ი
მოკრძალებულად	მოკრძალებულ ად
სუაჰილის	სუაჰილ ის
ქალაქებიდან	ქალაქ ები დან
ჯიშის	ჯიშ ის
კულინარიული	კულინარ ი ული
მიიტაცა	მი იტაც ა
კარაქის	კარაქ ის
მედიცინა	მედიცინ ა
პავლემ	პავლ ემ
მცემ	მცემ
მკვეთრი	მკვეთრ ი
მიღებისას	მიღებ ის ას
ამშვენებდა	ამშვენ ებ და
ბორუსია	ბორუს ია
მრავლობითი	მრავლ ობ ით ი
მხარეა	მხარე ა
ბოიართა	ბოი არ თა
ბრაიანის	ბრაიან ის
ძალაუფლებისა	ძალაუფლ ების ა
კმაყოფილია	კმაყოფილ ია
სანაოსნოა	სა ნაოსნ ო ა
ფიზიკისა	ფიზიკ ისა
სიერა	სი ერ ა
ნიუკასლ	ნიუკასლ
იმედის	იმედ ის
შენახვა	შე ნახვ ა
მეიერსი	მე იერს ი
სახითაც	სახ ით ა ც
სოკოებს	სოკო ებს
შუამდე	შუ ა მდე
რღვევა	რღვევ ა
მწყემსვა	მწყემს ვა
გადმოხტა	გა დმო ხტ ა
ჯონსმა	ჯონს მა
ალექსანდრ	ალექსანდრ
ძროხა	ძროხ ა
არიდება	არიდ ება
შეინიშნებოდა	შე ინიშნ ებ ო და
დანესტიანების	და ნესტიან ების
ბასიანი	ბასიან ი
ფარფლი	ფარფლ ი
მესვეურები	მე სვეურ ები
თემურ	თემ ურ
წამყვანმა	წამყვან მა
მემამულეთა	მე მამულე თა
განსამტკიცებლად	გან სა მტკიც ებლად
გაემზადა	გა ემზად ა
გადახრას	გადახრ ა ს
ინდონეზიას	ინდონეზი ა ს
გრეილსის	გრეილ ს ის
ელოდა	ელოდ ა
ვალი	ვალ ი
ჯამბაზები	ჯამბაზ ები
გამომცემლობა	გა მო მცემლობ ა
ვოს	ვ ო ს
წვა	წვ ა
მისი	მის ი
შემოიყვანა	შე მო იყვან ა
ვადამდელ	ვად ამდელ
ანალურ	ანალ ურ
დაემთავრებინა	და ე მთავრ ები ნა
შავკანიანი	შავკანიან ი
სამკურნალოდ	სა მკურნალ ოდ
თითს	თით ს
ლაითი	ლა ით ი
დათვლის	და თვლ ის
სინდრომს	სინდრომ ს
ვირსალაძე	ვირსალ აძე
ტექნიკისა	ტექნიკ ისა
მწარმოებელთა	მწარმოებელ თა
ფოთლების	ფოთლ ების
ფოსტერის	ფოსტ ერ ის
მალფოის	მალფო ის
მენაპირე	მე ნაპირ ე
კონა	კონ ა
უკნიდან	უკნ იდან
სარძევე	სა რძევ ე
დაიმზირება	და ი მზირ ება
შეავსო	შეავს ო
მისია	მისი ა
ოსმალებს	ოსმალ ებს
შემოიღეს	შე მო იღ ეს
ეროტიული	ეროტი ული
გარე	გარ ე
უზენაესი	უზენაეს ი
გამოკეტა	გა მო კეტ ა
უილისი	უილ ის ი
მიემართა	მიემართ ა
ესწრაფოდა	ე სწრაფ ო და
რეიტინგში	რეიტინგ ში
დაცემა	და ცემ ა
უცვლელი	უცვლელ ი
პტოლემეს	პტოლემე ს
არქიპელაგს	არქიპელაგ ს
სოკოების	სოკო ების
პლანტაციის	პლანტაცი ის
ვარჯიში	ვარჯიშ ი
ადაპტაციას	ადაპტაცი ას
ოსლოს	ოსლო ს
დევნილობაში	დევნილ ობ აში
დიდიე	დიდ ი ე
ვუდი	ვუდ ი
მიუთითა	მი უ თით ა
ხელმწიფეს	ხელმწიფ ეს
ჰოფმანის	ჰოფმან ის
დეპოს	დეპ ო ს
გერმანიკული	გერმანი კ ული
ნამუშევრებში	ნა მუშევრ ებ ში
ჩაიკოვსკის	ჩაიკოვსკ ის
შეაჩერა	შე აჩერ ა
მარცვლოვანი	მარცვლოვან ი
მორთულ	მო რთულ
მისული	მისულ ი
უჭირდათ	უჭირ დათ
კიშინიოვის	კიშინი ოვ ის
ორკესტრისათვის	ორკესტრ ისა თვის
წაგებით	წაგ ები თ
ჯეიმზმა	ჯეიმზ მა
ასლით	ასლ ით
ტყვეობას	ტყვეობ ას
ნადირობაზე	ნადირ ო ბა ზე
ორგანიზაციამ	ორგანიზაცი ამ
მკვლელს	მკვლელ ს
უწყობს	უწყობ ს
შვილისთვის	შვილ ისთვის
გადაკვეთას	გადაკვეთ ას
განურჩევლად	გა ნუ რჩევ ლად
მებრძოლი	მებრძოლ ი
გარეშეც	გარეშე ც
ჩემპიონატში	ჩემპიონატ ში
მსხვერპლნი	მსხვერპლ ნი
მსახიობებს	მსახიობ ებს
სივრცითი	სივრც ით ი
ოციანი	ოც იანი
ქარტია	ქარტი ა
ყინულს	ყინულ ს
მოუხმო	მოუხმ ო
სისხლძარღვების	სი სხლძარღვ ების
ინდექსით	ინდექს ით
პსვ	პსვ
უპირისპირდება	უპირისპირდ ება
ცნობიდან	ცნობ იდან
შემოდგომაზე	შემოდგომ ა ზე
ნარვის	ნა რვ ის
აჩვენეს	ა ჩვენ ეს
პრიზები	პრიზ ები
წარმატებებს	წარმატებ ებს
შემოგვრჩა	შე მო გვ რჩ ა
მარგი	მა რგ ი
გვირგვინები	გვირგვინ ები
ბავშვებისა	ბავშვ ების ა
ოგადენი	ოგადენ ი
ნიმუშებს	ნიმუშ ებს
წინსვლას	წინსვლ ა ს
სტარმა	სტარ მა
დინასტიის	დინასტი ის
ზომის	ზომ ის
სამართლიანია	სა მართლიან ია
დარიგება	და რიგ ება
წესზე	წეს ზე
ბუდიზმის	ბუდიზმ ის
ინჟინრებს	ინჟინრ ებს
წარმოიქმნება	წარმოიქმნ ება
ყიფშიძე	ყიფშ იძე
გვიანდელი	გვიანდელ ი
სამკერვალო	სა მ კერვალ ო
წარსულში	წარსულ ში
ბიოლოგი	ბიოლოგი
ოქტომბრისათვის	ოქტომბრ ისა თვის
დენვერის	დენვერ ის
კარიმ	კარ ი მ
ფიგურირებს	ფიგურირებ ს
შედედების	შე დედ ების
შოპენი	შოპენ ი
თაჩდაუნი	თაჩდაუნ ი
შესწორება	შე სწორ ება
მანჰეტენი	მა ნჰეტენ ი
მიმოხილვა	მი მო ხილვ ა
უღრანი	უღრ ანი
დემოგრაფიულ	დემოგრაფი ულ
მიტროპოლიტის	მი ტროპოლიტ ის
მხედრები	მხედრ ები
ბოლოვდებოდა	ბოლოვდ ებ ო და
მეთოდეს	მეთოდ ეს
მოთხრობამ	მო თხრობ ამ
წარმოქმნისა	წარმოქმნ ისა
ფოცხოვის	ფოცხოვ ის
წრიდან	წრ იდან
ესხმოდნენ	ესხმ ო დნენ
ეწყობა	ეწყ ობ ა
ერთეულ	ერთეულ
კახეთს	კახეთ ს
მოსე	მოს ე
შეკეთება	შე კეთ ება
ანდერძის	ანდერძ ის
ნასახლარი	ნასახლარ ი
ეშვება	ეშვ ება
ძაბრის	ძაბრ ის
ვოლდემორმა	ვოლდემორ მა
ულვეუსი	ულვეუს ი
ავიაციამ	ავიაცი ამ
ივლის	ივლის
დავიდ	და ვიდ
გადაადგილებისას	გადაადგილ ების ას
ძეგლს	ძეგლ ს
იუსტიციის	იუსტიცი ის
არქიტრავული	ა რქიტრავ ული
აივერსონის	აივერსონ ის
ხარისხში	ხარისხ ში
თიბისი	თიბის ი
თხოვა	თხოვ ა
რაკეტებით	რაკეტ ები თ
რეიუნიონის	რეიუნიონ ის
სტავროპოლის	სტავრ ო პოლ ის
ბრიტანეთში	ბრიტანეთ ში
დამსახურებისათვის	და მსახურ ების ათვ ის
სილუეტს	სილუეტ ს
კრავს	კრავ ს
აშლენდის	აშ ლენდ ის
გაძარცვა	გა ძარცვ ა
მაჰმადიანთა	მაჰმადიან თა
შიფრაციის	შიფრ აცი ის
გაერთიანებული	გა ერთიანებ ული
განთავსებულია	განთავს ებულ ია
საგაზეთო	სა გაზეთ ო
ლანდშაფტის	ლანდშაფტ ის
ხელმძღვანელებს	ხელმძღვანელ ებს
წყაროთი	წყარო თი
საკონტრაქტო	სა კონტრაქტ ო
სალომე	სალომ ე
დამალვის	დამალვ ის
ბატონობისგან	ბატონობ ის გან
ბარსელონამ	ბარსელონ ამ
მიედინებიან	მი ედინებ იან
ზამთარს	ზამთარ ს
წინასწარმეტყველური	წინასწარმეტყველ ური
მატერიის	მატერი ის
გაუშვა	გა უშვ ა
სარგებლობის	სარგებლ ობ ის
ულავ	უ ლავ
სიყვარულითა	სიყვარულ ით ა
სინგლებმა	სინგლ ებ მა
ერთეულებად	ერთეულ ება დ
ფუძემდებლის	ფუძემდებლ ის
ქცევების	ქცევ ების
აერთიანებდნენ	ა ერთიანებ დნენ
აპირებ	აპირებ
ბარსა	ბარ ს ა
სუონსის	სუონ ს ის
საავტომობილო	სა ავტომობილ ო
ბრალდებები	ბრალდებ ები
კუნთებს	კუნთ ებს
ნერონმა	ნერონ მა
ინტერესთა	ინტერეს თა
გადაცემები	გადაცემ ები
უყურადღებობის	უ ყურადღებ ობ ის
კითხვებზე	კითხვ ებზე
სენეგალის	სენეგალ ის
პირველებმა	პირველ ებ მა
შესვენების	შე სვენებ ის
კატალოგი	კატალოგ ი
თვითმპყრობელობის	თვით მპყრობელ ობ ის
სტუდიამ	სტუდი ამ
იგნორირებული	იგნორ ირებ ული
მორისეტს	მო რისეტ ს
ჰემმა	ჰემ მა
შეერთებოდნენ	შეერთებ ო დნენ
კვლევათა	კვლევ ა თ ა
აჯანყებებს	აჯანყებ ებს
კვართის	კვართ ის
სალამურა	სა ლამურ ა
სრულყოფა	სრულყოფ ა
ხაზზეა	ხაზ ზე ა
დამპყრობლების	და მპყრობლ ების
ბათილად	ბათილ ად
უამბო	უ ამბ ო
ოდნავი	ოდნავ ი
განიხილა	გა ნიხილ ა
შერბილდა	შე რბილ და
სახელობის	სახელობ ის
ასტრონომი	ასტრონომ ი
ზურგის	ზურგ ის
რაბინის	რაბინ ის
სასახლეთა	სასახლ ეთ ა
გათხოვების	გა თხოვ ების
ბოკასას	ბოკას ა ს
ამირამ	ამირ ამ
მარიამის	მარიამ ის
განაწილებაზე	გა ნაწილ ება ზე
თვიანი	თვ იანი
ვებგვერდის	ვებგვერდ ის
მიურატი	მიურატ ი
აკადემიკოსის	აკადემიკოს ის
დაბალია	და ბალ ია
სპასალარი	სპასალარ ი
სახელწოდებები	სა ხელწოდებ ები
დაამტკიცოს	და ამტკიც ო ს
მესინაში	მესინ ა ში
სადისერტაციო	სა დისერტაცი ო
აფხაზ	აფხაზ
კინო	კინო
პოლიციაში	პოლიცი ა ში
ფრიდრიხის	ფრიდრიხ ის
თესლის	თესლ ის
ატოლი	ატოლ ი
ისტორიკოსებმა	ისტორიკოს ებ მა
დაკვირვებით	და კვირვებ ით
ნარუტო	ნარუტ ო
გამოყენების	გა მო ყენებ ის
გორგიჯანიძე	გორგიჯან იძე
დაფუძნებით	დაფუძნ ები თ
სკორსეზეს	სკორსეზ ეს
მაკედონია	მაკედონ ია
აფსარის	აფსარ ის
რუბლის	რუბლი ს
ზოლი	ზოლ ი
ევროატლანტიკურ	ევრო ატლანტიკურ
შეფასებაში	შეფას ება ში
გასტროლებით	გა სტროლ ები თ
საკრავების	სა კრავ ების
ფრანგულში	ფრანგულ ში
აჯანყებისა	აჯანყებ ისა
შრომა	შრომ ა
დეკორაციულ	დეკორაცი ულ
აყენებდა	აყენ ებ და
ვანდა	ვან და
პორტუგალიელი	პორტუგალიელ ი
აღმსარებელი	აღმსარ ებელი
რევოლუციურად	რევოლუცი ურ ად
ექადიის	ე ქად ი ის
გამოიგონა	გამო იგონ ა
მედიჩის	მედიჩ ის
ჩანაწერებისა	ჩანაწერ ების ა
სემინარის	სემინარი ს
წარმოიქმნა	წარმოიქმნ ა
სასიამოვნოა	სა სიამოვნ ო ა
თავისებურებების	თავისებურ ებ ების
რეპორტიორი	რე პორტ ი ორ ი
ატმოსფეროზე	ატმოსფერო ზე
ხედავდა	ხედავ და
მუსიკალური	მუსიკალურ ი
ითავსებს	ითავს ებს
მტკივნეულია	მტკივნეულ ია
კლასები	კლას ები
შოუებზე	შოუ ებზე
მანძილი	მანძილ ი
რეგიონებიდან	რეგიონ ები დან
ჩამოართვეს	ჩამოართვ ეს
პრუტის	პრუტ ის
კოლხური	კოლხ ური
ხარვეზების	ხარვეზ ების
ორმხრივ	ორმხრივ
ყავა	ყავ ა
შემოტევას	შემოტევ ას
შექმნიდა	შექმნ ი და
ალფონს	ალფონს
დიმა	დი მა
ეფრონის	ე ფრონ ის
შესრულდა	შესრულ და
პრაღაში	პრაღ აში
ენერგეტიკაში	ენერგეტიკ ა ში
მოხდის	მო ხდ ის
ახლით	ახლ ით
რეესტრში	რეესტრ ში
ჩაიწეროს	ჩაიწერ ო ს
ბრძოლისა	ბრძოლ ისა
ერთეულის	ერთეულ ის
ბუდისტები	ბუდისტ ები
წარმოქმნიან	წარმოქმნ იან
ირწმუნეს	ი რწმუნე ს
დანაკარგის	და ნაკარგ ის
შეიქმნება	შე იქმნ ება
ნომერ	ნომერ
ლაზერული	ლაზერ ული
ნოტები	ნოტ ები
ფორუმები	ფორუმ ები
გადმოიტანეს	გა დმო იტან ეს
მოეთხოვა	მო ეთხოვ ა
აფსიდს	აფსიდ ს
სიმღერებისგან	სიმღერ ების გან
სტუდენტებისთვის	სტუდენტ ების თვის
შენარჩუნებაზე	შე ნარჩუნ ება ზე
ერთგვარად	ერთგვარ ად
წყლის	წყლ ის
ხმელეთიდან	ხმელეთ იდან
მილიონიანი	მილიონ იანი
გარდაცვლილა	გა რდაცვლილ ა
პალესტინელი	პალესტინ ელი
დინამო	დინამ ო
იკავებენ	იკავ ებენ
მადრიდის	მადრიდ ის
