იტალიასთან	იტალი ასთან
ნაძვის	ნაძვ ის
ირლანდიელები	ირლანდი ელები
სათადარიგოთა	სათადარიგო თა
სულებთან	სულ ებთან
ცოლი	ცოლ ი
იწყებდნენ	იწყ ებდნენ
სიგანეში	სიგანე ში
სეისმურ	სეისმ ურ
ქალაქისათვის	ქალაქ ისათვის
ფესვები	ფესვ ები
ტელეარხების	ტელეარხ ების
აგნოსტიკოსი	აგნოსტი კოსი
ააფეთქეს	ა აფეთქ ეს
ანგარიშს	ანგარიშ ს
ოლივია	ოლივი ა
ატარებდა	ატარ ებდა
ანგარიშებში	ანგარიშ ებში
გავრცელებას	გავრცელებ ას
ბარიკადებზე	ბარ იკადებზე
შეენარჩუნებინათ	შეე ნარჩუნ ებინათ
აბსტრაქტულ	აბსტრაქტ ულ
დაინახავს	დაინახ ავს
თეორიების	თეორი ების
ტრიბუნების	ტრიბუნ ების
დაუჯდა	დაუ ჯდა
რესპუბლიკელებს	რესპუბლიკ ელებს
ბიძაშვილზე	ბიძაშვი ლზე
გაზეთის	გაზეთ ის
ფარულად	ფარ ულად
განრისხება	განრისხ ება
პელეს	პე ლეს
ერევანი	ერევ ანი
მონად	მონ ად
ირკვევა	ირკვევ ა
ფერწერას	ფერწერ ას
რადიოს	რადიო ს
ბაქოში	ბაქ ოში
პარტიზანებს	პარტიზან ებს
ყიზილბაშების	ყიზილბაშ ების
შენადნობის	შენადნობ ის
ეთიოპელი	ეთიოპ ელი
საპა	ს აპა
ისრებით	ის რებით
მთვარის	მთვარ ის
პატივმოყვარე	პატივ მოყვარე
ბებიასთან	ბები ასთან
მიღწევაში	მიღწევ აში
პოლონეთმა	პოლონეთ მა
რეიგანის	რეიგან ის
არქონის	არქ ონის
სანქციები	სანქცი ები
აცნობენ	აცნობ ენ
დაფუძნებულ	დაფუძნებ ულ
ბალთაზარ	ბალ თაზარ
ჰადესში	ჰა დესში
მეთხუთმეტე	მე თხუთმეტ ე
კულინარული	კულინარ ული
ბენქსი	ბენ ქსი
გასამგზავრებლად	გასა მგზავრებლად
ანგარიშების	ანგარიშ ების
ნახშირორჟანგის	ნახშირორჟანგ ის
რუსუდან	რუსუდან
მიზანიც	მიზან იც
დოვლათის	დოვლათ ის
ერისთავ	ერისთავ
დიაკვნად	დიაკვ ნად
საკონსერვო	სა კონსერვ ო
ესპანურენოვან	ესპანურ ენოვან
ამაღლებს	ამაღლ ებს
ედიქტის	ედიქტ ის
უჯრედებზე	უჯრედ ებზე
ფრიზი	ფრ იზი
ტერფი	ტერფ ი
პიეტრო	პიე ტრო
ხელმძღვანელობით	ხ ელმძღვანელ ობით
მყინვარის	მყინვარ ის
წამოსული	წამო სული
ვახტანგ	ვახტანგ
სისასტიკის	სისასტიკ ის
შესაბამისი	შესაბამ ისი
აქტივობას	აქტივობ ას
პარმას	პარ მას
წვერიანი	წვერ იანი
უტრეხტის	უ ტრეხტის
ხანგრძლივობაა	ხანგრძლივ ობაა
კემბრიჯში	კემბრიჯ ში
აგილერას	აგილერა ს
გადასვლისას	გადასვლ ისას
საფუძვლის	საფუძვ ლის
ციკლონური	ციკლონ ური
ხაზის	ხაზ ის
მხარე	მხარე
ოფიცრები	ოფიცრ ები
მიმდევრებს	მიმდევრ ებს
გამოშვებულ	გამოშვებ ულ
მტაცებელია	მტაცებელ ია
ტბის	ტბ ის
რასელმა	რას ელმა
კიროს	კიროს
მედიას	მედი ას
სოკოების	სოკო ების
შენელების	შენელ ების
კვერცხების	კვერცხ ების
ინდოევროპული	ინდო ევროპ ული
სტრატეგიულ	სტრატეგი ულ
ჰქონდათ	ჰქონ დათ
რამა	რამ ა
დაუმორჩილა	დაუმორჩილ ა
ამსახველ	ამსახ ველ
სტრუქტურებს	სტრუქტურ ებს
სავანაში	სავან აში
ოქტომბერი	ოქტომბერ ი
სამმართველოს	სამმართველ ოს
მიაღწიოს	მიაღწი ოს
ზრდასა	ზრდ ასა
ქელბაჯარის	ქელბა ჯარ ის
ეფექტით	ეფექტ ით
ნაყინი	ნაყინ ი
სამუშაოს	სამუშაო ს
გამოცემამდე	გამოცემ ამდე
შრედინგერის	შრე დინგერის
ნორმის	ნორმ ის
ვეზირის	ვეზი რის
გადმოხვიდე	გადმო ხვიდე
თეიმურაზ	თეიმურაზ
გამოთვლები	გამოთვლ ები
განმასხვავებელ	განმასხვა ვებელ
დაადგება	დაა დგება
მაგნიტუდის	მაგნიტუდ ის
პირას	პირ ას
პროექტია	პროექტ ია
იშვიათია	იშვიათ ია
გებელსმა	გებელს მა
ისხდნენ	ის ხდნენ
დიმიტრი	დიმი ტრი
ეფექტს	ეფექტ ს
მოსავლიანობა	მოსავლიანობ ა
რადეს	რად ეს
ფარგლები	ფარგლ ები
გადაკეთებულია	გადაკეთ ებულია
დაითხოვა	და ითხოვ ა
რელიგიისა	რელიგი ისა
შრიფტით	შრიფ ტით
დრამატულად	დრამატ ულად
შეფასებული	შეფასებ ული
ევროპელებს	ევროპ ელებს
ჯავახეთი	ჯავახეთ ი
განდეგილი	განდეგილ ი
თხემურ	თხემ ურ
კონტაქტში	კონტაქტ ში
მოთამაშედ	მოთამაშ ედ
მაღალმთის	მაღალ მთის
დანიშნულმა	დანიშნულ მა
პარაგვაი	პარაგვა ი
სინგლში	სინგლ ში
სრულუფლებიანი	სრულუფლებ იანი
მოჭრილ	მოჭრ ილ
გადაქცეულია	გადა ქცეულია
ასწიოს	ას წი ოს
ჩადენსისის	ჩადენ სისის
არხით	არხ ით
წესია	წეს ია
ვატიკანის	ვატიკ ანის
ზოროასტრიზმის	ზორო ასტრ იზმის
ვაკანტური	ვაკან ტური
გამდინარე	გა მდინარე
ლაღი	ლაღ ი
ცოდვათა	ცოდვ ათა
დასტურდება	დასტურ დება
სოფლებისა	სოფლ ებისა
შედეგი	შედეგ ი
მტირალა	მტირ ალა
აეხსნა	აე ხსნა
ოტავა	ოტავ ა
რქებს	რქ ებს
მოხალისედ	მოხალისე დ
ხალიჩების	ხალიჩ ების
კიდურწაისრული	კიდურ წაისრული
ქულები	ქულ ები
ანდერსონთან	ანდერსონ თან
მკლავში	მკლავ ში
მსმენელებს	მსმენ ელებს
დანიშნოს	დანიშნ ოს
ლტოლვილების	ლტოლვილ ების
ორსულ	ორსულ
შესატყვისი	შესატყვის ი
შვედეთისა	შვედ ეთისა
მოწინააღმდეგესთან	მოწინააღმდე გესთან
დასჯით	დასჯ ით
ჰუმანიზმი	ჰუმან იზმი
ზონდი	ზონ დი
დენიელ	დენი ელ
ბურთისთვის	ბურთ ისთვის
გამოაგზავნა	გამოა გზავნა
გარნიეს	გარ ნიეს
დაარწმუნეს	დაარწმუნ ეს
გააგზავნეს	გააგზავნ ეს
ბებიას	ბები ას
დაიბრუნებდა	დაიბრუნ ებდა
ჟორჟი	ჟორჟ ი
კოდით	კოდ ით
წარმოსახვითი	წარმოსახ ვითი
ნმ	ნმ
გაუპატიურების	გაუპატიურე ბის
ფრენენ	ფრენ ენ
მკვლელობისთვის	მკვლელობ ისთვის
რისკის	რი სკის
ჩნდებოდნენ	ჩნდ ებოდნენ
სექტემბერში	სექტემბ ერში
მრუდე	მრუდ ე
მარხილის	მარ ხილის
გაურბიან	გაურ ბიან
წუთებზე	წუთ ებზე
აღსადგენად	აღსა დგენად
პრობლემებია	პრობლე მებია
გორილას	გორილ ას
კაიზერის	კაიზერ ის
პლატინის	პლატინ ის
მოსარწყავად	მო სარწყ ავად
ნიშა	ნიშ ა
პროცენტულად	პროცენტ ულად
იფანტება	იფანტ ება
სისტემებთან	სისტემ ებთან
ათენას	ათენ ას
ავსტრალია	ავსტრა ლია
ოშოს	ოშ ოს
ეთიკურ	ეთიკ ურ
საწარმოებლად	საწარმო ებლად
გადაადგილდა	გადაადგილდ ა
მიზანია	მიზან ია
ხევისბერი	ხევის ბერი
მარცვლის	მარცვლ ის
ყოველივე	ყოველივე
ფერგიუსონმა	ფერგიუს ონმა
შემოქმედებაშიც	შემოქმედებ აშიც
მოასწრებს	მოასწრ ებს
მინარეთი	მინარე თი
რუსეთისთვის	რუსეთ ისთვის
პროტექტორატის	პროტექტორა ტის
საინიციატივო	სა ინიციატივ ო
ცვივა	ცვი ვა
საკმეტოში	სა კმეტ ოში
განმარტოებულ	განმარტო ებულ
გეოლოგიას	გეოლოგი ას
ხელისუფლებაში	ხელისუფლებ აში
ეტიუდი	ეტიუდ ი
პალიასტომის	პალი ასტომის
უბერავს	უ ბერავს
წყალსატევის	წყალსა ტევის
თბილელის	თბილ ელის
ღვთისმშობელმა	ღვთისმშობ ელმა
ეპოქას	ეპოქ ას
გამოუცხადეს	გამოუცხად ეს
მოსახერხებელია	მოსახერხ ებელია
დატვირთულია	დატვირთ ულია
ქრისტეშობამდე	ქრისტე შობამდე
მილიონად	მილიონ ად
ამოვსებული	ამოვს ებული
ლამა	ლა მა
პოლიტიკამ	პოლიტიკ ამ
სამართალი	სამართ ალი
მოსამსახურეთა	მოსამსახურ ეთა
მინდვრები	მინდვრ ები
შენდებოდა	შენ დებოდა
მიწერილ	მი წერილ
უკანასკნელს	უკანასკნელ ს
რხევას	რხევ ას
ცენზორის	ცენზორ ის
კატისებრთა	კატ ისებრთა
დასაშვებ	დასაშვებ
იასონი	იასონ ი
მაღალი	მაღალ ი
დაარწმუნებს	დაარწმუნ ებს
განლაგების	განლაგ ების
წინაპრებისგან	წინაპრ ებისგან
ციური	ციური
გადახდების	გადახდ ების
პრევალი	პრე ვალი
მარჯიელა	მარჯ იელა
უტოპიურ	უტოპი ურ
უჯრედები	უჯრედ ები
დაუმატეს	დაუ მატეს
გერმანელის	გერმანელ ის
ფოთლოვან	ფოთლოვან
კალთებიდან	კალთ ებიდან
კათოლიკოსი	კათოლიკოს ი
ცეცხლსასროლ	ცეცხლსა სროლ
ჭყონდიდელის	ჭყონდიდელ ის
ხიმშიაშვილი	ხი მშიაშვილი
ნაშთებიც	ნაშთ ებიც
მცხეთაში	მცხეთ აში
წმინდანების	წმინდან ების
მადაგასკარი	მადაგასკა რი
სექსუალობის	სექსუალ ობის
დარტყმების	დარტყ მების
საკოლმეურნეო	სა კოლმეურნე ო
ოლიმპოს	ოლიმპ ოს
შავკანიანები	შავკან იანები
შეასრულებს	შეასრულ ებს
რავენაში	რავენ აში
მყინვარია	მყინვარ ია
კანგალი	კანგალ ი
იგერიებდნენ	იგერი ებდნენ
ექსპლოატაციის	ექს პლოატ აციის
მდინარეებს	მდინარე ებს
სამახსოვრო	სამახსოვ რო
შეიარაღების	შეიარაღებ ის
ცენტრიც	ცენტრ იც
სკოლაა	სკოლ აა
მქონეა	მქონ ეა
ვიგებთ	ვიგ ებთ
მორფოლოგიური	მორფოლოგ იური
თურქების	თურქ ების
მეთაურობის	მეთაურ ობის
მწყემსი	მწყემს ი
საყრდენ	საყრდენ
სხვადახვა	სხვა დახვა
მონარქი	მონარქ ი
კირილეს	კირილ ეს
გეტო	გეტო
წინამორბედთან	წინამორბე დთან
ჯულიეტა	ჯული ეტა
პლანეტად	პლანეტ ად
ჰემში	ჰემ ში
აგრძელებს	აგრძელ ებს
აქვეა	აქვე ა
კილომეტრია	კილომეტრ ია
აცვიათ	აცვი ათ
ეწეოდა	ეწე ოდა
არქანჯელო	არქ ანჯელო
საგები	საგ ები
წარმოიდგინე	წარმო იდგინე
იუანის	იუან ის
ერთპიროვნული	ერთპიროვნ ული
რუმინული	რუმინ ული
ჯგუფთა	ჯგუფ თა
ტურნირებზე	ტურნირ ებზე
შევსებული	შევს ებული
კლდიდან	კლდ იდან
ქვიან	ქვ იან
შემოზღუდული	შემოზღუდული
ფეროშენადნობთა	ფერო შენადნობ თა
აბსოლუტიზმი	აბსოლუტი ზმი
ალყამ	ალყ ამ
ყოფილმა	ყოფილ მა
ეგზისტენციალურ	ეგზის ტენციალურ
გაერო	გა ერო
გათამაშებიდან	გათამაშ ებიდან
მაროკოს	მაროკო ს
პრემიერი	პრემიერ ი
ლიცენზიით	ლიცენზი ით
შტატებში	შტატ ებში
ყრილობებს	ყრილობ ებს
ექმნება	ე ქმნება
ირჩევდა	ირჩევ და
ზბიგნევი	ზბიგნევ ი
უკრაინელები	უკრაინ ელები
კავშირებით	კავშირ ებით
კონსოლების	კონსოლ ების
მშიერი	მ შიერი
ღელვის	ღელვ ის
საცეცხლე	სა ცეცხლე
მხარეებზე	მხარე ებზე
კოპერი	კოპერ ი
ლიცენზიის	ლიცენზი ის
დასასჯელად	და სასჯელ ად
ოკეანეებში	ოკეანე ებში
პიროვნებები	პიროვნებ ები
პოულობდა	პოულობ და
დაამონტაჟეს	დაამონტაჟ ეს
სკანირება	სკან ირება
მკვლელი	მკვლელ ი
ემაგრება	ე მაგრ ება
ვახტანგი	ვახტანგ ი
თვალნათლივ	თვალ ნათლივ
ოდნავი	ოდნავ ი
გლობუსზე	გლობ უსზე
საგლეხო	სა გლეხ ო
ჟღენტი	ჟღ ენტი
მამაკაცური	მამაკაც ური
კვირეული	კვირ ეული
სვიტრი	სვი ტრი
ნოველების	ნოველ ების
გეიმის	გეიმ ის
ზეახალი	ზე ახალ ი
ალპინისტთა	ალპინი სტთა
ხელშეკრულებაში	ხელშეკრულ ებაში
შუბისპირები	შუბ ისპირები
გოლგოთის	გოლ გოთის
მემკვიდრეობისა	მემკვიდრეობ ისა
თარგმანს	თარგმან ს
მოუნდა	მო უნდა
ჩეხი	ჩეხ ი
კიტი	კი ტი
კრება	კრებ ა
ამჟამინდელ	ა მჟამინდ ელ
მართალ	მართალ
დარტყმით	დარტყ მით
ფორმებისა	ფორმ ებისა
ახსნა	ახსნ ა
კანონზომიერება	კანონზომიე რება
დადაბლებული	დადაბლ ებული
ფირის	ფირ ის
ქიქოძის	ქიქო ძის
ჩართვას	ჩართვ ას
ვაჭარი	ვაჭარ ი
წონაა	წონ აა
აგილერამ	აგილერა მ
ენერგიების	ენერგი ების
ფტორიდი	ფტორი დი
ეკოლოგიურად	ეკოლოგი ურად
პატიმრებს	პატიმრებ ს
დოქტრინა	დოქტრი ნა
დააზიანა	დაა ზიანა
მოკლავდა	მოკლ ავდა
ორეგონის	ორ ეგონის
დამთავრდება	დამთავრ დება
მოძრაობასთან	მოძრაობ ასთან
ნიკეაში	ნიკე აში
კოსმოსური	კოსმოს ური
კამპუსი	კამპუს ი
ამჰერსტში	ამჰერსტ ში
დუბაი	დუბაი
აღმოჩენაა	აღმოჩენ აა
დაისაჯნენ	დაისაჯ ნენ
გარეკანი	გარეკან ი
შემკული	შემკ ული
ევოლუციურად	ევოლუცი ურად
ტანკების	ტანკ ების
მაისი	მაის ი
კიშინიოვის	კი შინიოვის
ღატაკი	ღატაკ ი
წამოუღია	წამო უღია
მასალაც	მასალ აც
აჩვენებდა	აჩვენ ებდა
ჰეზბოლამ	ჰეზბოლ ამ
იგრძნობოდა	ი გრძნობ ოდა
ტემპერატურაზე	ტემპერატურ აზე
ნაკადული	ნაკად ული
გასულიყვნენ	გასულ იყვნენ
ასისტენტად	ასისტენტ ად
ტორონტო	ტორონ ტო
წილის	წილ ის
კრიტიკის	კრიტიკ ის
განმსჭვალული	განმსჭვალ ული
დამფუძნებლები	დამფუძნ ებლები
ლაზთა	ლაზ თა
მხოლოს	მხოლ ოს
ოცნებაა	ოცნებ აა
პიანისტის	პიანი სტის
მოპყრობა	მოპყრ ობა
ამბიციები	ამბიცი ები
უჩვეულოდ	უჩვეულ ოდ
ექნებოდა	ექნებ ოდა
მიუსაჯა	მიუსაჯ ა
ნორმანული	ნორმან ული
განმარტება	განმარტ ება
გააქვს	გა აქვს
ელამი	ელამ ი
ძვირფასია	ძვირფას ია
თავსართები	თავსართ ები
გავედი	გავედ ი
კანკელი	კანკე ლი
ფიცით	ფიც ით
აგზავნიან	აგზავნ იან
რაინის	რაინ ის
ჰაბილისს	ჰაბილის ს
კრებულში	კრებულ ში
დაეთმოთ	დ აეთმოთ
მოძრაობიდან	მოძრაობ იდან
დისკზე	დისკ ზე
გოთიკის	გოთ იკის
მელბურნში	მელბურნ ში
კანონის	კანონ ის
მოციქულთა	მოციქულ თა
ჰუდის	ჰუ დის
ბორუსია	ბორ უსია
სიგრძისა	სიგრძ ისა
საბუთის	საბუთ ის
გაწყდა	გაწყ და
აიღებს	აიღ ებს
იმედგაცრუებული	იმედგაცრუ ებული
მამფალი	მამ ფალი
ამინდი	ამინდ ი
იზრდებიან	იზრდ ებიან
ბეჭედს	ბეჭედ ს
არქიტექტორი	არქიტექტორ ი
უნებლიე	უნებლი ე
გრაფების	გრაფ ების
სიბრმავე	სიბრმავ ე
მატერიალების	მატერიალ ების
ლოდები	ლოდ ები
ვოკალისტ	ვოკალისტ
სესხის	სესხ ის
სოლისტია	სოლის ტია
დოჟის	დო ჟის
გაათავისუფლა	გაა თავისუფლ ა
დაამარცხებდა	დაამარცხ ებდა
რონი	რონ ი
ხანაც	ხან აც
ბეჭედზე	ბეჭედ ზე
ბაბილონეთის	ბაბილონ ეთის
ამუშავებდნენ	ამუშავ ებდნენ
მთვარეზე	მთვარე ზე
სერ	სერ
საგრანტო	სა გრანტო
კურფიურსტის	კურფიურსტ ის
გადატანილი	გადატან ილი
ბურთი	ბურთ ი
მოახერხა	მოახერხ ა
ქონგურებიანი	ქონ გურებიანი
არენასი	არენ ასი
ჭავჭავაძის	ჭავჭავაძ ის
კარიერი	კარიერ ი
მაჟინოს	მა ჟინოს
ნახატები	ნახატ ები
ქერქის	ქერქ ის
ჟარი	ჟარ ი
თავსებადი	თავს ებადი
გდრ	გ დრ
ოსურ	ოს ურ
რეაქციული	რეაქცი ული
ბანკნოტები	ბანკნო ტები
მოჭედილი	მო ჭედილი
გამოსვლამდე	გამოსვლ ამდე
ივლისისა	ივლის ისა
შეფუთვა	შეფუთვა
შესწავლისათვის	შესწავლ ისათვის
გორაზე	გორ აზე
მცენარეებისგან	მცენარე ებისგან
მეფისა	მეფ ისა
ემსახურებოდა	ემსახურ ებოდა
პერსონალური	პერსონა ლური
პრეზიდენტებს	პრეზიდენტ ებს
რაციონში	რაციონ ში
აპატიმრებენ	ა პატიმრებ ენ
აკვარელით	აკვარელი თ
ნაწარმოებია	ნაწარმოებ ია
ლიახვის	ლიახვის
იტყვის	იტყვი ს
კუნძულია	კუნძულ ია
კონცენტრირებულია	კონცენტრ ირებულია
